 Init_Win_bytes_forward, Fwd IAT Total, Fwd IAT Max, Destination Port, Fwd IAT Mean, Fwd Header Length, Flow IAT Max, Flow Duration, Fwd Packets/s, Total Length of Fwd Packets, Subflow Fwd Bytes, Fwd Packet Length Mean, Avg Fwd Segment Size, Fwd Packet Length Max, Flow IAT Mean, Flow Packets/s, Max Packet Length, Packet Length Mean, Fwd IAT Min, Bwd Packet Length Mean, Average Packet Size, Avg Bwd Segment Size, Bwd Packet Length Max, Total Length of Bwd Packets, Subflow Bwd Bytes, Packet Length Variance, Packet Length Std, Flow IAT Min, min_seg_size_forward, Fwd Packet Length Std, Label
32738,2117,2117,80,2117.0,40,2117,2117,944.7331129,0,0,0.0,0.0,0,2117.0,944.7331129,0,0.0,2117,0.0,0.0,0.0,0,0,0,0.0,0.0,2117,20,0.0,DDOS attack-HOIC
32738,7339,7339,80,7339.0,40,7339,7339,272.5166916,0,0,0.0,0.0,0,7339.0,272.5166916,0,0.0,7339,0.0,0.0,0.0,0,0,0,0.0,0.0,7339,20,0.0,DDOS attack-HOIC
254,677,661,443,338.5,60,661,677,4431.314623,77,77,25.66666667,25.66666667,46,338.5,4431.314623,46,30.75,16,0.0,41.0,0.0,0,0,0,470.25,21.68524844,16,20,23.45918441,Infilteration
26883,0,0,21,0.0,40,5,5,200000.0,0,0,0.0,0.0,0,5.0,400000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,5,40,0.0,DoS attacks-SlowHTTPTest
-1,0,0,53,0.0,8,844,844,1184.834123,43,43,43.0,43.0,43,844.0,2369.668246,71,52.33333333,0,71.0,78.5,71.0,71,71,71,261.3333333,16.16580754,844,8,0.0,Infilteration
26883,1013642,1005606,80,253410.5,168,1005266,1013642,4.9327079975,418,418,83.6,83.6,418,144806.0,7.892332796,662,120.0,355,220.6666666667,135.0,220.6666666667,662,662,662,60421.0,245.80683473,3,32,186.935282919,DoS attacks-GoldenEye
2053,461,461,80,461.0,40,461,461,4338.3947939263,0,0,0.0,0.0,0,461.0,4338.3947939263,0,0.0,461,0.0,0.0,0.0,0,0,0,0.0,0.0,461,20,0.0,Brute Force -XSS
26883,106814427,53247614,80,8216494.38461539,456,53247614,106814429,0.1310684346,2530,2530,180.7142857143,180.7142857143,230,6675901.8125,0.1591545277,230,140.5555555556,226,0.0,148.8235294118,0.0,0,0,0,13311.4379084967,115.375204912,2,32,97.9375221341,DoS attacks-Slowloris
26883,411602,138768,22,19600.0952380952,712,138768,412813,53.2928953303,1912,1912,86.9090909091,86.9090909091,640,9600.3023255814,106.5857906607,976,101.7111111111,249,121.1363636364,104.0227272727,121.1363636364,976,2665,2665,41508.8464646465,203.7371995112,3,32,137.6880217811,SSH-Bruteforce
8192,2230470,1199156,3389,318638.5714285714,172,953136,2230470,3.586688007460311,1148,1148,143.5,143.5,677,159319.2857142857,6.725040013988084,1173,170.56250000000003,54,225.8571428571429,181.9333333333333,225.8571428571429,1173,1581,1581,102037.59583333335,319.4332415909987,50,20,228.12966237897004,Benign
8192,538579,183017,443,76939.85714,172,135486,538579,14.85390258,313,313,39.125,39.125,187,35905.26667,29.70780517,1330,313.8235294,23,627.75,333.4375,627.75,1330,5022,5022,263198.9044,513.0291458,0,20,74.25715454,Infilteration
26883,361047,104219,22,17192.7142857143,712,104219,361219,60.9048804188,1912,1912,86.9090909091,86.9090909091,640,8400.4418604651,121.8097608376,976,101.7111111111,235,121.1363636364,104.0227272727,121.1363636364,976,2665,2665,41508.8464646465,203.7371995112,7,32,137.6880217811,SSH-Bruteforce
2052,460,460,8080,460.0,40,460,460,4347.826087,0,0,0.0,0.0,0,460.0,4347.826087,0,0.0,460,0.0,0.0,0.0,0,0,0,0.0,0.0,460,20,0.0,Bot
225,67194,39347,80,33597.0,96,39347,67194,44.64684347,0,0,0.0,0.0,0,33597.0,44.64684347,0,0.0,27847,0.0,0.0,0.0,0,0,0,0.0,0.0,27847,32,0.0,DoS attacks-Hulk
26883,0,0,21,0.0,40,1,1,1000000.0,0,0,0.0,0.0,0,1.0,2000000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,40,0.0,FTP-BruteForce
-1,0,0,53,0.0,8,269,269,3717.472118959108,55,55,55.0,55.0,55,269.0,7434.944237918216,151,87.0,0,151.0,130.5,151.0,151,151,151,3072.0,55.42562584220407,269,8,0.0,Benign
8192,298,260,80,149.0,72,1331324,1331653,2.252839141,20,20,6.666666667,6.666666667,20,221942.1667,5.256624661,964,123.0,38,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,5,20,11.54700538,DDoS attacks-LOIC-HTTP
2052,511,511,8080,511.0,40,511,511,3913.894325,0,0,0.0,0.0,0,511.0,3913.894325,0,0.0,511,0.0,0.0,0.0,0,0,0,0.0,0.0,511,20,0.0,Bot
-1,0,0,53,0.0,8,1044,1044,957.8544061302682,35,35,35.0,35.0,35,1044.0,1915.7088122605364,99,56.33333333333333,0,99.0,84.5,99.0,99,99,99,1365.3333333333333,36.95041722813605,1044,8,0.0,Benign
168,0,0,51786,0.0,20,34,34,29411.764705882357,0,0,0.0,0.0,0,34.0,58823.52941176471,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,34,20,0.0,Benign
26883,0,0,21,0.0,40,4,4,250000.0,0,0,0.0,0.0,0,4.0,500000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,4,40,0.0,DoS attacks-SlowHTTPTest
31,17,17,52584,17.0,40,17,17,117647.0588,0,0,0.0,0.0,0,17.0,117647.0588,0,0.0,17,0.0,0.0,0.0,0,0,0,0.0,0.0,17,20,0.0,Infilteration
26883,6874532,6842026,80,1718633.0,168,6841714,6874532,0.7273222381,348,348,69.6,69.6,348,982076.0,1.1637155809,662,112.2222222222,191,220.6666666667,126.25,220.6666666667,662,662,662,55750.4444444445,236.1153202239,3,32,155.630331234,DoS attacks-GoldenEye
-1,120000000,698698,80,1137.88137,840872,698698,119600435,878.8345962,3363488,3363488,32.0,32.0,32,1137.88137,878.8345962,32,32.0,0,0.0,32.00030445,0.0,0,0,0,0.0,0.0,0,8,0.0,DDOS attack-LOIC-UDP
32738,259,259,80,259.0,40,259,259,7722.007722,0,0,0.0,0.0,0,259.0,7722.007722,0,0.0,259,0.0,0.0,0.0,0,0,0,0.0,0.0,259,20,0.0,DDOS attack-HOIC
26883,0,0,21,0.0,40,7,7,142857.1429,0,0,0.0,0.0,0,7.0,285714.2857,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,7,40,0.0,DoS attacks-SlowHTTPTest
32738,8252,8252,80,8252.0,40,8252,8252,242.3654872,0,0,0.0,0.0,0,8252.0,242.3654872,0,0.0,8252,0.0,0.0,0.0,0,0,0,0.0,0.0,8252,20,0.0,DDOS attack-HOIC
-1,120000000,561947,80,765.3650059,1253248,561947,119898255,1306.574479,5012992,5012992,32.0,32.0,32,765.3650059,1306.574479,32,32.0,0,0.0,32.00020427,0.0,0,0,0,0.0,0.0,0,8,0.0,DDOS attack-LOIC-UDP
288,0,0,55476,0.0,20,21,21,47619.04762,0,0,0.0,0.0,0,21.0,95238.09524,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,21,20,0.0,Infilteration
8192,351,349,80,175.5,72,1435262,1435644,2.089654538,20,20,6.666666667,6.666666667,20,239274.0,4.875860589,964,123.0,2,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,2,20,11.54700538,DDoS attacks-LOIC-HTTP
32738,5916,5916,80,5916.0,40,5916,5916,338.066261,0,0,0.0,0.0,0,5916.0,338.066261,0,0.0,5916,0.0,0.0,0.0,0,0,0,0.0,0.0,5916,20,0.0,DDOS attack-HOIC
26883,0,0,21,0.0,40,2,2,500000.0,0,0,0.0,0.0,0,2.0,1000000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,40,0.0,FTP-BruteForce
26883,0,0,21,0.0,40,25,25,40000.0,0,0,0.0,0.0,0,25.0,80000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,25,40,0.0,FTP-BruteForce
2052,580,580,8080,580.0,40,580,580,3448.275862,0,0,0.0,0.0,0,580.0,3448.275862,0,0.0,580,0.0,0.0,0.0,0,0,0,0.0,0.0,580,20,0.0,Bot
26883,0,0,21,0.0,40,2,2,500000.0,0,0,0.0,0.0,0,2.0,1000000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,40,0.0,FTP-BruteForce
241,0,0,22,0.0,32,10,10,100000.0,0,0,0.0,0.0,0,10.0,200000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,10,32,0.0,SSH-Bruteforce
26883,0,0,21,0.0,40,7,7,142857.1429,0,0,0.0,0.0,0,7.0,285714.2857,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,7,40,0.0,DoS attacks-SlowHTTPTest
-1,91600000,733223,80,375.9991584,1948680,733223,91587379,2659.59134,7794720,7794720,32.0,32.0,32,375.9991584,2659.59134,32,32.0,0,0.0,32.00013137,0.0,0,0,0,0.0,0.0,0,8,0.0,DDOS attack-LOIC-UDP
26883,0,0,21,0.0,40,2,2,500000.0,0,0,0.0,0.0,0,2.0,1000000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,40,0.0,FTP-BruteForce
65535,2027,1241,50779,506.75,124,897,2027,2466.699556,935,935,187.0,187.0,935,337.8333333,3453.379378,935,157.625,7,163.0,180.1428571,163.0,326,326,326,111676.5536,334.1804207,7,20,418.1447118,Benign
8192,314,266,80,157.0,72,1497449,1497795,2.002944328,20,20,6.666666667,6.666666667,20,249632.5,4.673536766,964,123.0,48,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,5,20,11.54700538,DDoS attacks-LOIC-HTTP
26883,0,0,21,0.0,40,19,19,52631.5789473684,0,0,0.0,0.0,0,19.0,105263.157894737,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,19,40,0.0,FTP-BruteForce
26883,30836,30350,80,10278.6666666667,136,5003558,5034394,0.7945345557,245,245,61.25,61.25,245,719199.142857143,1.5890691114,972,135.2222222222,197,243.0,152.125,243.0,972,972,972,105030.444444444,324.0840083133,7,32,122.5,DoS attacks-GoldenEye
8192,4105780,1281041,3389,315829.230769231,292,953098,4105780,3.4098271218,1456,1456,104.0,104.0,741,195513.333333333,5.3582997628,1179,138.5652173913,28377,216.375,144.8636363636,216.375,1179,1731,1731,78616.7114624506,280.3867176998,23,20,195.0136089926,Benign
226,9571420,9571420,80,9571420.0,64,9571420,9571420,0.208955411,0,0,0.0,0.0,0,9571420.0,0.208955411,0,0.0,9571420,0.0,0.0,0.0,0,0,0,0.0,0.0,9571420,32,0.0,DoS attacks-GoldenEye
26883,0,0,21,0.0,40,18,18,55555.5555555556,0,0,0.0,0.0,0,18.0,111111.111111111,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,18,40,0.0,FTP-BruteForce
225,24943,24943,80,24943.0,64,24943,24943,80.18281682,0,0,0.0,0.0,0,24943.0,80.18281682,0,0.0,24943,0.0,0.0,0.0,0,0,0,0.0,0.0,24943,32,0.0,DoS attacks-Hulk
26883,339245,101616,22,16154.5238095238,712,101616,339291,64.8410951071,1928,1928,87.6363636364,87.6363636364,640,8078.3571428571,126.7348677094,976,104.3863636364,148,126.9047619048,106.8139534884,126.9047619048,976,2665,2665,42227.9635306554,205.4944367389,4,32,137.7805520365,SSH-Bruteforce
221,19103211,19103211,80,19103211.0,64,19103211,19103211,0.1046944412,0,0,0.0,0.0,0,19103211.0,0.1046944412,0,0.0,19103211,0.0,0.0,0.0,0,0,0,0.0,0.0,19103211,32,0.0,DoS attacks-GoldenEye
32738,685,685,80,685.0,40,685,685,2919.708029,0,0,0.0,0.0,0,685.0,2919.708029,0,0.0,685,0.0,0.0,0.0,0,0,0,0.0,0.0,685,20,0.0,DDOS attack-HOIC
26883,371339,83306,22,16145.1739130435,776,67856,371388,64.6224433746,1928,1928,80.3333333333,80.3333333333,640,8253.0666666667,123.8596831346,976,97.7234042553,247,121.1363636364,99.847826087,121.1363636364,976,2665,2665,40139.2479185939,200.3478173542,5,32,133.9586784655,SSH-Bruteforce
2053,155,149,80,77.5,60,149,155,19354.8387096774,0,0,0.0,0.0,0,77.5,19354.8387096774,0,0.0,6,0.0,0.0,0.0,0,0,0,0.0,0.0,6,20,0.0,Brute Force -XSS
32738,13554,13554,80,13554.0,40,13554,13554,147.5579165,0,0,0.0,0.0,0,13554.0,147.5579165,0,0.0,13554,0.0,0.0,0.0,0,0,0,0.0,0.0,13554,20,0.0,DDOS attack-HOIC
8192,56352737,1087857,80,370741.690789474,3072,1087857,56354394,2.7149613214,54995,54995,359.4444444444,359.4444444444,646,220134.3515625,4.5604252261,1068,494.1162790698,378,696.9903846154,496.0389105058,696.9903846154,1068,72487,72487,126315.885259253,355.4094614093,5,20,271.4171844443,Brute Force -Web
279,96,96,80,96.0,40,96,96,20833.3333333333,0,0,0.0,0.0,0,96.0,20833.3333333333,0,0.0,96,0.0,0.0,0.0,0,0,0,0.0,0.0,96,20,0.0,Benign
8192,512,458,8080,256.0,72,10488,11371,263.8290388,326,326,108.6666667,108.6666667,326,1895.166667,615.6010905,326,56.875,54,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,1,20,188.2161878,Bot
2049,8634725,8634725,80,8634725.0,40,8634725,8634725,0.231622895,0,0,0.0,0.0,0,8634725.0,0.231622895,0,0.0,8634725,0.0,0.0,0.0,0,0,0,0.0,0.0,8634725,20,0.0,DDoS attacks-LOIC-HTTP
256,227,205,443,113.5,60,205,227,13215.859030837,77,77,25.6666666667,25.6666666667,46,113.5,13215.859030837,46,30.75,22,0.0,41.0,0.0,0,0,0,470.25,21.6852484422,22,20,23.4591844132,Benign
-1,0,0,53,0.0,8,251,251,3984.0637450199,54,54,54.0,54.0,54,251.0,7968.1274900399,86,64.6666666667,0,86.0,97.0,86.0,86,86,86,341.3333333333,18.4752086141,251,8,0.0,Benign
8192,404,362,80,202.0,72,1226435,1226869,2.445248841,20,20,6.666666667,6.666666667,20,204478.1667,5.705580628,964,123.0,42,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,10,20,11.54700538,DDoS attacks-LOIC-HTTP
26883,7612425,6588544,80,1903106.25,176,6588244,12616743,0.3962987912,430,430,86.0,86.0,430,1577092.875,0.7133378242,972,140.2,373,243.0,155.7777777778,243.0,972,972,972,103680.4,321.9944098894,4,32,192.301846065,DoS attacks-GoldenEye
8192,534,467,8080,267.0,72,8917,9797,306.2161886,326,326,108.6666667,108.6666667,326,1632.833333,714.5044401,326,56.875,67,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,21,20,188.2161878,Bot
65535,8343,7952,80,4171.5,72,7952,9085,330.2146395,288,288,96.0,96.0,288,1514.166667,770.5008255,935,152.875,391,233.75,174.7142857,233.75,935,935,935,110028.9821,331.7061684,3,20,166.2768775,DDOS attack-HOIC
-1,0,0,53,0.0,8,242,242,4132.231405,41,41,41.0,41.0,41,242.0,8264.46281,105,62.33333333,0,105.0,93.5,105.0,105,105,105,1365.333333,36.95041723,242,8,0.0,Infilteration
2049,31300000,31300000,80,31300000.0,40,31300000,31325922,0.063844889,0,0,0.0,0.0,0,31300000.0,0.063844889,0,0.0,31300000,0.0,0.0,0.0,0,0,0,0.0,0.0,31300000,20,0.0,DDoS attacks-LOIC-HTTP
8192,3959604,3432462,443,494950.5,192,4829961,8789565,1.023941458,1771,1771,196.7777778,196.7777778,677,517033.2353,2.047882916,1460,301.4210526,194,439.5555556,318.1666667,439.5555556,1460,3956,3956,178384.0351,422.3553422,0,20,269.488765,Infilteration
-1,0,0,53,0.0,8,77471,77471,12.9080559177,38,38,38.0,38.0,38,77471.0,25.8161118354,132,69.3333333333,0,132.0,104.0,132.0,132,132,132,2945.3333333333,54.2709253038,77471,8,0.0,Benign
32738,15216,15216,80,15216.0,40,15216,15216,131.4405889,0,0,0.0,0.0,0,15216.0,131.4405889,0,0.0,15216,0.0,0.0,0.0,0,0,0,0.0,0.0,15216,20,0.0,DDOS attack-HOIC
26883,382947,81022,22,16649.8695652174,776,81022,383453,62.5891569501,1912,1912,79.6666666667,79.6666666667,640,8917.511627907,114.7467877419,976,101.7111111111,274,133.25,104.0227272727,133.25,976,2665,2665,41508.8464646465,203.7371995112,4,32,133.8339875812,SSH-Bruteforce
26883,0,0,21,0.0,40,2,2,500000.0,0,0,0.0,0.0,0,2.0,1000000.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,40,0.0,FTP-BruteForce
-1,120000000,874071,80,1236.810347,774096,874071,119675006,808.5397547,3096384,3096384,32.0,32.0,32,1236.810347,808.5397547,32,32.0,0,0.0,32.00033071,0.0,0,0,0,0.0,0.0,0,8,0.0,DDOS attack-LOIC-UDP
-1,120000000,675064,80,981.6317123,975832,675064,119737473,1018.720347,3903328,3903328,32.0,32.0,32,981.6317123,1018.720347,32,32.0,0,0.0,32.00026234,0.0,0,0,0,0.0,0.0,0,8,0.0,DDOS attack-LOIC-UDP
8192,627,549,8080,313.5,72,9934,10981,273.1991622,326,326,108.6666667,108.6666667,326,1830.166667,637.4647118,326,56.875,78,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,18,20,188.2161878,Bot
26883,6969859,6957613,80,1742464.75,168,6957289,6969859,0.7173746269,414,414,82.8,82.8,414,995694.142857143,1.1477994031,662,119.5555555556,3,220.6666666667,134.5,220.6666666667,662,662,662,60124.7777777778,245.2035435669,3,32,185.146428537,DoS attacks-GoldenEye
26883,0,0,21,0.0,40,23,23,43478.2608695652,0,0,0.0,0.0,0,23.0,86956.5217391304,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,23,40,0.0,FTP-BruteForce
26883,6986162,6973815,80,1746540.5,168,6973449,6986162,0.715700552,520,520,104.0,104.0,520,998023.142857143,1.1451208833,972,165.7777777778,66,324.0,186.5,324.0,972,972,972,120980.444444444,347.822432348,2,32,232.55106966,DoS attacks-GoldenEye
32738,9652,9652,80,9652.0,40,9652,9652,207.2109407,0,0,0.0,0.0,0,9652.0,207.2109407,0,0.0,9652,0.0,0.0,0.0,0,0,0,0.0,0.0,9652,20,0.0,DDOS attack-HOIC
-1,0,0,53,0.0,8,660,660,1515.151515,36,36,36.0,36.0,36,660.0,3030.30303,68,46.66666667,0,68.0,70.0,68.0,68,68,68,341.3333333,18.47520861,660,8,0.0,Infilteration
-1,0,0,53,0.0,8,93220,93220,10.72731174,33,33,33.0,33.0,33,93220.0,21.45462347,113,59.66666667,0,113.0,89.5,113.0,113,113,113,2133.333333,46.18802154,93220,8,0.0,Infilteration
26883,0,0,21,0.0,40,19,19,52631.5789473684,0,0,0.0,0.0,0,19.0,105263.157894737,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,19,40,0.0,FTP-BruteForce
8192,504,453,8080,252.0,72,9983,10798,277.8292276,326,326,108.6666667,108.6666667,326,1799.666667,648.2681978,326,56.875,51,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,0,20,188.2161878,Bot
26883,3038303,2011659,80,1519151.5,120,2011659,3038303,0.9873932916,0,0,0.0,0.0,0,1519151.5,0.9873932916,0,0.0,1026644,0.0,0.0,0.0,0,0,0,0.0,0.0,1026644,40,0.0,DoS attacks-Slowloris
8192,553,500,8080,276.5,72,10087,10938,274.2731761,326,326,108.6666667,108.6666667,326,1823.0,639.9707442,326,56.875,53,32.25,65.0,32.25,112,129,129,13318.69643,115.4066568,1,20,188.2161878,Bot
241,0,0,22,0.0,32,6,6,166666.666666667,0,0,0.0,0.0,0,6.0,333333.333333333,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,32,0.0,SSH-Bruteforce
8192,116950614,58654921,443,10631874.0,252,58654921,116950614,0.1026074134164015,632,632,52.66666666666666,52.66666666666666,199,5315937.000000001,0.1966642090481029,1460,197.58333333333331,107,373.6363636363637,206.17391304347825,373.6363636363636,1460,4110,4110,177288.5144927536,421.0564267325148,1,20,73.35881100123659,Benign
26883,361717,102853,22,17224.6190476191,712,102853,361759,60.8139673097,1960,1960,89.0909090909,89.0909090909,640,8413.0,121.6279346195,976,102.7777777778,280,121.1363636364,105.1136363636,121.1363636364,976,2665,2665,41512.6767676768,203.7465994015,5,32,137.9533769037,SSH-Bruteforce
8192,116218701,10109093,80,7747913.4,332,10015497,116218701,0.1376714751,445,445,27.8125,27.8125,434,4007541.4137931,0.2581340158,706,37.1290322581,203,50.4285714286,38.3666666667,50.4285714286,706,706,706,21468.9161290322,146.5227495273,38,20,108.3175693659,Benign
8192,327,324,80,163.5,72,1340615,1340969,2.237188183,20,20,6.666666667,6.666666667,20,223494.8333,5.220105759,964,123.0,3,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,3,20,11.54700538,DDoS attacks-LOIC-HTTP
26883,355648,106581,22,16935.619047619,712,106581,355691,61.8514384677,1912,1912,86.9090909091,86.9090909091,640,8271.8837209302,123.7028769353,976,101.7111111111,219,121.1363636364,104.0227272727,121.1363636364,976,2665,2665,41508.8464646465,203.7371995112,3,32,137.6880217811,SSH-Bruteforce
26883,0,0,21,0.0,40,3,3,333333.3333,0,0,0.0,0.0,0,3.0,666666.6667,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,3,40,0.0,DoS attacks-SlowHTTPTest
-1,0,0,53,0.0,8,36504,36504,27.39425816348893,58,58,58.0,58.0,58,36504.0,54.78851632697786,124,80.0,0,124.0,120.0,124.0,124,124,124,1452.0,38.1051177665153,36504,8,0.0,Benign
26883,4626,3745,80,1542.0,136,5000783,5005409,0.7991354952,386,386,96.5,96.5,386,715058.428571429,1.5982709904,972,150.8888888889,282,243.0,169.75,243.0,972,972,972,111109.111111111,333.3303333198,7,32,193.0,DoS attacks-GoldenEye
-1,120000000,624159,80,838.9449605,1140280,624159,119578181,1191.981671,4561120,4561120,32.0,32.0,32,838.9449605,1191.981671,32,32.0,0,0.0,32.00022451,0.0,0,0,0,0.0,0.0,0,8,0.0,DDOS attack-LOIC-UDP
225,43411,43411,80,43411.0,64,43411,43411,46.07127226,0,0,0.0,0.0,0,43411.0,46.07127226,0,0.0,43411,0.0,0.0,0.0,0,0,0,0.0,0.0,43411,32,0.0,DoS attacks-Hulk
-1,120000000,656140,80,880.5753322,1087936,656140,119750320,1135.629533,4351744,4351744,32.0,32.0,32,880.5753322,1135.629533,32,32.0,0,0.0,32.00023531,0.0,0,0,0,0.0,0.0,0,8,0.0,DDOS attack-LOIC-UDP
26883,0,0,21,0.0,40,19,19,52631.5789473684,0,0,0.0,0.0,0,19.0,105263.157894737,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,19,40,0.0,FTP-BruteForce
26883,375026,78674,22,17858.380952381,712,63113,375073,58.655248445,1912,1912,86.9090909091,86.9090909091,640,8722.6279069767,117.3104968899,976,101.7111111111,275,121.1363636364,104.0227272727,121.1363636364,976,2665,2665,41508.8464646465,203.7371995112,3,32,137.6880217811,SSH-Bruteforce
1024,0,0,4567,0.0,24,281,281,3558.718861,0,0,0.0,0.0,0,281.0,7117.437722,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,281,24,0.0,Infilteration
32738,25078,25078,80,25078.0,40,25078,25078,79.75117633,0,0,0.0,0.0,0,25078.0,79.75117633,0,0.0,25078,0.0,0.0,0.0,0,0,0,0.0,0.0,25078,20,0.0,DDOS attack-HOIC
8192,1717,1433,80,858.5,72,1144133,1145874,2.6180889,20,20,6.666666667,6.666666667,20,190979.0,6.1088741,964,123.0,284,241.0,140.5714286,241.0,964,964,964,115523.4286,339.8873763,2,20,11.54700538,DDoS attacks-LOIC-HTTP
26883,0,0,21,0.0,40,14,14,71428.5714285714,0,0,0.0,0.0,0,14.0,142857.142857143,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,14,40,0.0,FTP-BruteForce
26883,373859,111234,22,17802.8095238095,712,111234,374359,58.7671192625,1944,1944,88.3636363636,88.3636363636,640,8706.023255814,117.5342385251,976,102.4222222222,156,121.1363636364,104.75,121.1363636364,976,2665,2665,41511.6585858586,203.7441007388,3,32,137.8690011274,SSH-Bruteforce
2052,495,495,8080,495.0,40,495,495,4040.40404,0,0,0.0,0.0,0,495.0,4040.40404,0,0.0,495,0.0,0.0,0.0,0,0,0,0.0,0.0,495,20,0.0,Bot
-1,0,0,53,0.0,8,1095,1095,913.2420091,42,42,42.0,42.0,42,1095.0,1826.484018,96,60.0,0,96.0,90.0,96.0,96,96,96,972.0,31.17691454,1095,8,0.0,Infilteration
26883,204556,145000,80,51139.0,168,145000,204556,24.4431842625,410,410,82.0,82.0,410,29222.2857142857,39.10909482,662,119.1111111111,297,220.6666666667,134.0,220.6666666667,662,662,662,59832.1111111111,244.6060324504,7,32,183.357574155,DoS attacks-GoldenEye
